Id[skip],Start time[completion-time],Completion time[skip],"Where is your institution based?[pie]
",Please select your organization type[pie],What is your official job title?[pie],What is the nature / contract type of your current employment?[pie],Please select the discipline in which you work. Please select all that apply.[pie],What is the highest level of education you have attained?[pie],"In which discipline is your highest academic qualification?[pie]
","Do you consider yourself a professional Research Software Engineer (RSE)?[pie]
",How many years of software development experience do you have?[pie],"On average, how much of your time is spent developing software?[pie]","On average, how much of your time is spent on research?[pie]","On average, how much of your time is spent on management and/or administration?[pie]","On average, how much of your time is spent on teaching/training?[pie]",What are the barriers for someone to choose a job as an Arts/Humanities Research Software Engineer (AH RSE)? Please rank each of the following items in order of importance with #1(top) being the most important[order],"Do you always work with the same researchers, or do you regularly change the researchers you work with?[pie]",Are you part of a dedicated research group within your institution?[pie],Describe your work pattern:[pie],Are you normally working on a single or multiple projects?[pie],Are you currently working or have you worked in industry projects as well?[pie],Have you participated in any pan-institutional RSE collaboration or activity?[pie],"Are you a member of an association of Research Software Engineers, or more generally research technical professionals?[pie]",Would you be interested in joining such an organisation?[pie],What would you hope to get out of such an organisation? Please rank each of the following items in order of importance with #1(top) being the most important object to #3(last) being the least important[order],"In general, when your software contributes to a paper, are you acknowledged in that paper?[pie]",Have you contributed to research articles as the primary author?[pie],"Have you contributed to other types of research outputs (reports, prototypes)?[pie]",Do you feel that your contribution to research is recognised by your supervisor/line manager/ the researchers you work with/ your institution?[pie],Have you presented your software work at a conference or workshop?[pie],How many software developers typically work on your projects/team?[pie],Describe briefly your team structure[open-response],Do your research software projects typically include a (technical ) project manager?[pie],What is the bus factor of your most important software project? (The bus factor designates the minimal number of developers that have to be hit by a bus (or quit) before a project is incapacitated)[pie],How often do you licensing software you produce under an open-source license?[pie],How often do you associate your software with a Digital Object Identifier (DOI)?[pie],Do you have an ORCID ID?[pie],How is your current research software work funded?[pie],Are you willing and/or able to act as PI on grants?[pie],Are you supported in your funding applications by your institution (policy-wise/research office)?[pie],How do you assess existing funding provision in the arts and humanities for the following areas: technical assessment of funded projects and research outputs[pie],"How do you assess existing funding provision in the arts and humanities for the following areas: 
sustainability of funded projects and research outputs[pie]","How do you assess existing funding provision in the arts and humanities for the following areas: 
infrastructure provision, including access to HPC / scalable compute[pie]",How do you assess existing funding provision in the arts and humanities for the following areas: devoted AH RSE work (pool)[pie],How do you assess existing funding provision in the arts and humanities for the following areas: RSE compute capability[pie],"How do you assess existing funding provision in the arts and humanities for the following areas: maintenance of technical infrastructure (data repositories, services, systems)[pie]",What do you consider as a RSE AH community training priority (choose all that apply)[pie],What do you consider as RSE AH community Policy priorities[pie],"Can we add your email address to a list run by the UK-IE CIG for AH RSEs? We'd like to share information on community events, learning and networking opportunities (optional)[pie]",Any other comments?[open-response]
1,16/10/2024 16:56,16/10/2024 17:11,UK,Higher Education - University ;,Senior Research Software Engineer,Permanent,Professional Services - IT support;,PhD,Astrophysics,Yes,1-5 years,more than 10 hours per week ,N/A,more than 10hours per week ,N/A,Unrecognised AH RSE activity;Lack of long term career prospects ;Lack of clear career paths;Lack of clear promotion criteria;Lack of clear salary benchmarking;Not integrated into/contributing to UK RSE initiatives and communities;,Yes,No,RSE working in pools,multiple projects,No,Yes,Yes,Yes,collaboration frameworks;policy interventions;professional rights;,No,Yes,Yes,Yes,Yes,01-May,"Pool of RSEs available for projects in any discipline. Individual projects get one, maybe two, RSEs doing development work and one Senior RSE overseeing as project manager (~2 hours a week).",,1,Almost every project,Rarely,Yes,Institutionally ;through national funding ;through international funding ;,No,No,neutral,neutral,neutral,neutral,neutral,neutral,"Responsible & sustainable architecture, models (data, processes, workflows);Responsible data management ;Ensure fruitful collaboration between RSEs and researchers involved in computationally and software-intensive research.;""Thinking like a programmer"" and communication;","Responsible & sustainable architecture, models (data, processes, workflows);Design policies to support sustainability and archiving of funded research projects;Contract status;Career paths & promotion metrics;",No,"Question 15 is a ""do you A or B"" qustion but the answers are ""yes/no"". I said yes because I meant A"
2,17/10/2024 07:39,17/10/2024 07:57,UK,Higher Education - University ;, Research Software Engineer,Permanent,Arts and Humanities (broadly defined);Data Science;,BSc-BA,Physical Science,Yes,more than 10 years,5-10 hours per week ,N/A,5-10 hours per week,1-5 hours per week ,Lack of long term career prospects ;Lack of clear career paths;Lack of clear promotion criteria;Unrecognised AH RSE activity;Lack of clear salary benchmarking;Not integrated into/contributing to UK RSE initiatives and communities;,It depends,No,RSE working in groups/teams,multiple projects,No,Yes,Yes,Yes,professional rights;policy interventions;collaboration frameworks;,Sometimes,No,Yes,No,No,01-May,Small Team linked to  General IT Department,Sometimes,1,Never,Rarely,Yes,Institutionally ;,Yes,No,negative,negative,positive ,negative,positive ,neutral,"Programming languages (eg Python, R);Responsible data management ;Ensure fruitful collaboration between RSEs and researchers involved in computationally and software-intensive research.;Project management;Responsible & sustainable architecture, models (data, processes, workflows);Software Development Lifecycle for Research Software Engineering ; established best practices in research software development;Training/ presentation /pedagogical skills ;","Career paths & promotion metrics;Collaborative credit;Technical research standards in alignment to UKRI RSE and infrastructure initiatives;Design policies to support sustainability and archiving of funded research projects;Training/ certifications;Scalable and sustainable compute facilities and infrastructure;Improving research and infrastructural quality, sustainability, and integration;",No,
3,17/10/2024 11:55,17/10/2024 12:09,UK,Higher Education - University ;,Teaching Fellow in Philosophy,Fixed-Term,Arts and Humanities (broadly defined);Computer Science;,PhD,Arts and Humanities (broadly defined),I don't know/ Maybe,5-10 years ,1-5 hours per week ,more than 10 hours per week ,1-5 hours per week ,more than 10 hours per week ,Not integrated into/contributing to UK RSE initiatives and communities;Lack of clear career paths;Unrecognised AH RSE activity;Lack of long term career prospects ;Lack of clear salary benchmarking;Lack of clear promotion criteria;,Yes,No,RSE working alone ,multiple projects,No,No,No,Yes,policy interventions;collaboration frameworks;professional rights;,Yes,Yes,Yes,No,Yes,01-May,I often work alone or with a single domain expert in Classics. ,No,n/a,Never,Never,Yes,Not funded ;,Yes,No,neutral,neutral,neutral,neutral,neutral,neutral,"Programming languages (eg Python, R);Ensure fruitful collaboration between RSEs and researchers involved in computationally and software-intensive research.;",Contract status;,Yes,
4,18/10/2024 11:31,18/10/2024 11:54,Ireland,Higher Education - University ;,Digital Humanities Manager,Permanent,Arts and Humanities (broadly defined);,Msc - MA,Design; Information Systems,Yes,more than 10 years,5-10 hours per week ,1-5 hours per week,more than 10hours per week ,1-5 hours per week ,Unrecognised AH RSE activity;Lack of clear promotion criteria;Lack of clear salary benchmarking;Lack of clear career paths;Lack of long term career prospects ;Not integrated into/contributing to UK RSE initiatives and communities;,It depends,No,RSE working alone ,multiple projects,"Yes , I worked in industry in the past",No,Yes,Yes,policy interventions;professional rights;collaboration frameworks;,Sometimes,Yes,Yes,Yes,Yes,01-May,Usually me alone. Occasionally collaboration with a contract developer or externally commercial agency.,No,1,Never,Rarely,Yes,Institutionally ;,No,Yes,neutral,strongly negative,neutral,negative,negative,negative," established best practices in research software development;Responsible & sustainable architecture, models (data, processes, workflows);Ensure fruitful collaboration between RSEs and researchers involved in computationally and software-intensive research.;","Career paths & promotion metrics;AH-specific RSE assessment metrics / standards (REF credit);Collaborative credit;PI status for RSE in funding applications;Technical research standards in alignment to UKRI RSE and infrastructure initiatives;Improving research and infrastructural quality, sustainability, and integration;",,
5,19/10/2024 06:40,19/10/2024 06:52,Ireland,industry;,Head of Innovation Technologies,Permanent,Arts and Humanities (broadly defined);GLAM - Cultural Heritage;Computer Science;,Msc - MA,Arts and Humanities (broadly defined),I don't know/ Maybe,5-10 years ,1-5 hours per week ,more than 10 hours per week ,more than 10hours per week ,N/A,Unrecognised AH RSE activity;Lack of clear salary benchmarking;Lack of clear promotion criteria;Not integrated into/contributing to UK RSE initiatives and communities;Lack of clear career paths;Lack of long term career prospects ;,It depends,No,RSE working in groups/teams,multiple projects,"Yes, I am currently working also in industry",No,No,Yes,collaboration frameworks;professional rights;policy interventions;,No,No,Yes,Sometimes,Yes,01-May,Innovation lead with 1 PM who serves as engineering lead and 1 to to 4 developers,Yes,2 or 3,I don’t understand your question.,Never,No,through international funding ;through private funding ;,Yes,No,strongly negative,neutral,negative,strongly negative,neutral,negative,"Project management; established best practices in research software development;Software Development Lifecycle for Research Software Engineering ;Responsible & sustainable architecture, models (data, processes, workflows);Responsible data management ;","Career paths & promotion metrics;AH-specific RSE assessment metrics / standards (REF credit);Responsible & sustainable architecture, models (data, processes, workflows);PI status for RSE in funding applications;Technical research standards in alignment to UKRI RSE and infrastructure initiatives;Design policies to support sustainability and archiving of funded research projects;Development of appropriate commercial and non-commercial open source partnerships;Copyright / licensing LLM/AI ;Ability to run scalable, reproducible cutting-edge data science and AI workflows.;Scalable and sustainable compute facilities and infrastructure;",Yes,
6,21/10/2024 12:39,21/10/2024 12:54,UK,Research Institute;,Principal Research Software Engineer,Permanent,Arts and Humanities (broadly defined);Data Science;AI;,BSc-BA,Open,Yes,more than 10 years,1-5 hours per week ,5-10 hours per week ,more than 10hours per week ,N/A,Lack of clear salary benchmarking;Lack of clear career paths;Lack of clear promotion criteria;Lack of long term career prospects ;Not integrated into/contributing to UK RSE initiatives and communities;Unrecognised AH RSE activity;,It depends,Yes,RSE working in pools,multiple projects,"Yes , I worked in industry in the past",Yes,Yes,Yes,professional rights;policy interventions;collaboration frameworks;,Yes,Yes,Yes,Yes,Yes,more than 10,"One Director, Principals that face each of the four institutional challenge area, Leads under them, that face each mission in each challenge area, then more fluid staff of Seniors and without prefix RSEs. We are moving to better align reporting structures to this structure, presently its matrix. In the same team, and we treat everyone on a continuum are Research Data Scientists",Sometimes,4,"We try to, but not always, depends on challenge area",Regularly,Yes,Institutionally ;through national funding ;through international funding ;,Yes,Yes,negative,neutral,neutral,strongly negative,positive ,neutral,Ensure fruitful collaboration between RSEs and researchers involved in computationally and software-intensive research.;,"PI status for RSE in funding applications;Ability to run scalable, reproducible cutting-edge data science and AI workflows.;Career paths & promotion metrics;",Yes,
7,21/10/2024 15:59,21/10/2024 16:16,UK,Higher Education - University ;,Director and Senior Analyst,Permanent,Arts and Humanities (broadly defined);GLAM - Cultural Heritage;Data Science;Digital Social Sciences;Library and Information Science (broadly defined);,PhD,Arts and Humanities (broadly defined),No,1-5 years,1-5 hours per week ,1-5 hours per week,more than 10hours per week ,1-5 hours per week ,Lack of clear promotion criteria;Lack of clear career paths;Lack of long term career prospects ;Lack of clear salary benchmarking;Unrecognised AH RSE activity;Not integrated into/contributing to UK RSE initiatives and communities;,It depends,Yes,RSE working in groups/teams,multiple projects,"Yes , I worked in industry in the past",Yes,Yes,Yes,policy interventions;collaboration frameworks;professional rights;,No,Yes,Yes,Yes,Yes,01-May,"Divided into lab support (Director, Deputy Director, Lab manager Project manager, Principal RSE) and solution development team (RS Analysts, UX Designers and Systems manager).",Yes,3,Monthly,Rarely,Yes,through national funding ;through international funding ;Institutionally ;through private funding ;,n/a,Yes,negative,negative,positive ,negative,positive ,negative,"Software Development Lifecycle for Research Software Engineering ;Responsible & sustainable architecture, models (data, processes, workflows);Responsible data management ;Ensure fruitful collaboration between RSEs and researchers involved in computationally and software-intensive research.;Project management;Analysis;","Career paths & promotion metrics;Responsible & sustainable architecture, models (data, processes, workflows);Reusable and environmentally sustainable AH processes, models, data and software. ;Collaborative credit;Technical research standards in alignment to UKRI RSE and infrastructure initiatives;Design policies to support sustainability and archiving of funded research projects;Improving research and infrastructural quality, sustainability, and integration;",Yes,
8,21/10/2024 17:54,21/10/2024 18:03,UK,Higher Education - University ;,Senior Research Software Engineer,Permanent,Arts and Humanities (broadly defined);GLAM - Cultural Heritage;,PhD,Arts and Humanities (broadly defined),Yes,more than 10 years,more than 10 hours per week ,1-5 hours per week,more than 10hours per week ,N/A,Lack of clear career paths;Lack of clear salary benchmarking;Unrecognised AH RSE activity;Lack of clear promotion criteria;Lack of long term career prospects ;Not integrated into/contributing to UK RSE initiatives and communities;,No,No,RSE working in groups/teams,multiple projects,No,Yes,Yes,Yes,,No,No,Yes,Yes,Yes,01-May,Almost flat laboratory structure ,Yes,n/a,Daily,Regularly,Yes,Institutionally ;through national funding ;through international funding ;,Yes,Yes,strongly negative,negative,neutral,negative,neutral,positive , established best practices in research software development;Responsible data management ;Ensure fruitful collaboration between RSEs and researchers involved in computationally and software-intensive research.;,Design policies to support sustainability and archiving of funded research projects;Career paths & promotion metrics;Contract status;,,
9,22/10/2024 11:34,22/10/2024 15:48,UK,Higher Education - University ;,Research Software Analyst,Permanent,Arts and Humanities (broadly defined);Library and Information Science (broadly defined);GLAM - Cultural Heritage;,Msc - MA,Library and Information Science (broadly defined),I don't know/ Maybe,N/A,N/A,1-5 hours per week,5-10 hours per week,N/A,Lack of clear career paths;Lack of clear promotion criteria;Lack of long term career prospects ;Lack of clear salary benchmarking;Unrecognised AH RSE activity;Not integrated into/contributing to UK RSE initiatives and communities;,It depends,n/a,RSE working in groups/teams,multiple projects,"Yes , I worked in industry in the past",No,No,No,professional rights;policy interventions;collaboration frameworks;,n/a,No,Yes,Sometimes,Yes,01-May,"Team is made up of developers, analysts, UI/UX designers, project and lab management and sysAdmin staff.",Yes,1,Not sure what this question means,Rarely,Yes,Institutionally ;through national funding ;,No,Yes,neutral,strongly negative,neutral,strongly negative,neutral,neutral,"Responsible & sustainable architecture, models (data, processes, workflows);Responsible data management ;Ensure fruitful collaboration between RSEs and researchers involved in computationally and software-intensive research.; established best practices in research software development;Training/ presentation /pedagogical skills ;","Contract status;Career paths & promotion metrics;Responsible & sustainable architecture, models (data, processes, workflows);Reusable and environmentally sustainable AH processes, models, data and software. ;Collaborative credit;Technical research standards in alignment to UKRI RSE and infrastructure initiatives;Design policies to support sustainability and archiving of funded research projects;Ability to run scalable, reproducible cutting-edge data science and AI workflows.;Improving research and infrastructural quality, sustainability, and integration;",No,
10,23/10/2024 07:58,23/10/2024 08:30,UK,Higher Education - University ;,Senior Research Software Analyst,Permanent,Arts and Humanities (broadly defined);,PhD,Arts and Humanities (broadly defined),Yes,N/A,N/A,1-5 hours per week,5-10 hours per week,N/A,Lack of clear career paths;Lack of long term career prospects ;Lack of clear promotion criteria;Lack of clear salary benchmarking;Unrecognised AH RSE activity;Not integrated into/contributing to UK RSE initiatives and communities;,No,Yes,RSE working in groups/teams,multiple projects,No,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,01-May,Research Software Engineers; Research Software Analysts; Research Software UI/UX Designers; Research Software Systems Manager; Research Software Project Manager; Research Software Lab Manager,No,2,"A few times a year, depending on number of projects being worked on",Never,Yes,Institutionally ;through national funding ;through international funding ;,Yes,Yes,negative,strongly negative,positive ,neutral,neutral,negative,"Software Development Lifecycle for Research Software Engineering ;Responsible & sustainable architecture, models (data, processes, workflows);Project management;Ensure fruitful collaboration between RSEs and researchers involved in computationally and software-intensive research.; established best practices in research software development;","Contract status;Career paths & promotion metrics;Responsible & sustainable architecture, models (data, processes, workflows);Technical research standards in alignment to UKRI RSE and infrastructure initiatives;Design policies to support sustainability and archiving of funded research projects;Scalable and sustainable compute facilities and infrastructure;",Yes,
11,23/10/2024 10:48,23/10/2024 11:01,Ireland,Higher Education - University ;,Senior Technical Officer / Digital Officer,Permanent,Arts and Humanities (broadly defined);,Msc - MA,Library and Information Science (broadly defined),Yes,more than 10 years,more than 10 hours per week ,5-10 hours per week ,more than 10hours per week ,5-10 hours per week ,Lack of clear career paths;Lack of long term career prospects ;Lack of clear salary benchmarking;Lack of clear promotion criteria;Unrecognised AH RSE activity;Not integrated into/contributing to UK RSE initiatives and communities;,It depends,No,RSE working in groups/teams,multiple projects,"Yes, I am currently working also in industry",Yes,Yes,Yes,collaboration frameworks;policy interventions;professional rights;,Yes,Yes,Yes,Yes,Yes,01-May,"A typical team would be the Primary Investigator, me as the technical manager/lead developer, a couple of postDocs and a couple of technical hires.",Yes,1,"Always but it is not an interval, it will be upon code-base reaching a stable version",Rarely,Yes,Institutionally ;through national funding ;through international funding ;,No,No,negative,negative,positive ,neutral,neutral,positive ," established best practices in research software development;Software Development Lifecycle for Research Software Engineering ;Responsible & sustainable architecture, models (data, processes, workflows);Programming languages (eg Python, R);Responsible data management ;Ensure fruitful collaboration between RSEs and researchers involved in computationally and software-intensive research.;Project management;Training/ presentation /pedagogical skills ;","Career paths & promotion metrics;Responsible & sustainable architecture, models (data, processes, workflows);Reusable and environmentally sustainable AH processes, models, data and software. ;PI status for RSE in funding applications;Technical research standards in alignment to UKRI RSE and infrastructure initiatives;Design policies to support sustainability and archiving of funded research projects;Development of appropriate commercial and non-commercial open source partnerships;Training/ certifications;Copyright / licensing LLM/AI ;Improving research and infrastructural quality, sustainability, and integration;",Yes,
12,23/10/2024 10:52,23/10/2024 11:27,UK,Higher Education - University ;,Digital Skills Training Manager,Permanent,Arts and Humanities (broadly defined);,PhD,Arts and Humanities (broadly defined),I don't know/ Maybe,5-10 years ,1-5 hours per week ,N/A,more than 10hours per week ,1-5 hours per week ,Lack of clear career paths;Lack of clear promotion criteria;Lack of long term career prospects ;Unrecognised AH RSE activity;Not integrated into/contributing to UK RSE initiatives and communities;Lack of clear salary benchmarking;,It depends,No,RSE working alone ,multiple projects,No,Yes,No,Yes,collaboration frameworks;policy interventions;professional rights;,No,Yes,Yes,Yes,Yes,01-May,My main role is as digital skills manager but sometimes I perform RSE tasks to help researchers with their projects (mostly data wrangling/collection/analysis),No,n/a,Sometimes,Rarely,Yes,Institutionally ;,No,No,neutral,negative,negative,neutral,positive ,positive ,"Software Development Lifecycle for Research Software Engineering ;Responsible & sustainable architecture, models (data, processes, workflows);Responsible data management ; established best practices in research software development;","Career paths & promotion metrics;Responsible & sustainable architecture, models (data, processes, workflows);PI status for RSE in funding applications;Design policies to support sustainability and archiving of funded research projects;Ability to run scalable, reproducible cutting-edge data science and AI workflows.;",Yes,
